,formula,spacegroup
5169,Ag2S,P2_1
5170,Ag2S,Cmc2_1
5171,Ag2S,C2/m
5172,Ag2S,Cmcm
5173,Ag2S,P2_1/m
5174,Ag2S,P2_1/c
5175,Ag2S,Pc
5176,Ag2S,P2_12_12_1
5177,Ag2S,P1
5178,Ag2S,Fm-3m
5179,Ag2S,Cmce
5180,Ag3S,P6_3/mmc
5181,CdS,P6_3mc
5182,CdS,F-43m
5183,CdS,Fm-3m
5184,CdS,Pmmn
5185,CdS2,Pa-3
5186,CdS,P3m1
5187,In2S3,I4_1/amd
5188,In11S16,P-4m2
5189,In2S3,Cc
5190,In2S3,Imm2
5191,In2S3,R-3c
5192,In3S4,Fd-3m
5193,In6S7,P2_1/m
5194,In5S8,F-43m
5195,InS,Pnnm
5196,InS,P2_1/c
5197,In2S3,Cm
5198,In5S4,Pa-3
5199,InS2,P4/nmm
5200,InS2,P4_2/mnm
5201,In3S,Pm-3m
5202,SnS2,P-3m1
5203,SnS2,P6_3mc
5204,SnS2,Fd-3m
5205,Sn2S3,Pnma
5206,SnS,Pnma
5207,SnS,Cmcm
5208,SnS2,I-42d
5209,SnS,Fm-3m
5210,SnS,Aem2
5211,SnS,P-1
5212,SnS,F-43m
5213,Sn3S7,C2/c
5214,Sn3S7,Cc
5215,Sn3S,Fm-3m
5216,CsS,Immm
5217,Cs2S3,Cmc2_1
5218,Cs2S,Pnma
5219,Cs2S5,P2_12_12_1
5220,CsS3,P-1
5221,CsS,Pm-3m
5222,BaS,Fm-3m
5223,Ba2S3,I4_1md
5224,BaS2,C2/c
5225,BaS3,P-42_1m
5226,BaS3,P2_12_12
5227,La2S3,Pnma
5228,La2S3,I-42d
5229,La3S4,I-43d
5230,LaS,Fm-3m
5231,La5S8,I-4
5232,La10S19,P4_2/n
5233,La4S7,I-42m
5234,La5S7,Cm
5235,LaS2,Pnma
5236,LaS2,P2_1/c
5237,La5S8,F-43m
5238,LaS,Cmce
5239,LaS,P4/nmm
5240,LaS2,P4/nmm
5241,LaS,Pm-3m
5242,Ce2S3,Pnma
5243,Ce3S4,I-43d
5244,Ce2S3,I-42d
5245,CeS,Fm-3m
5246,Ce5S8,F-43m
5247,Ce10S19,P4_2/n
5248,CeS2,P2_1/c
5249,CeS2,P4/nmm
5250,CeS2,Pnma
5251,CeS,P4/nmm
5252,CeS,Pm-3m
5253,CeS3,I4/mmm
5254,Pr2S3,Pnma
5255,Pr2S3,I-42d
5256,Pr3S4,I-43d
5257,PrS,Fm-3m
5258,Pr10S19,P4_2/n
5259,Pr5S9,C2
5260,PrS2,P2_1/c
5261,PrS2,Pnma
5262,Pr5S8,F-43m
5263,PrS3,P6_3/mmc
5264,PrS2,Fd-3m
5265,Nd2S3,Pnma
5266,Nd2S3,I-42d
5267,Nd3S4,I-43d
5268,NdS,Fm-3m
5269,Nd4S7,P-42m
5270,Nd10S19,P4_2/n
5271,Nd5S9,C2
5272,NdS2,P2_1/c
5273,Nd5S8,F-43m
5274,NdS2,P4/nmm
5275,Nd5S4,R-3m
5276,NdS3,P6_3/mmc
5277,NdS2,Fd-3m
5278,Pm2S3,R-3c
5279,PmS,Fm-3m
5280,PmS2,P2_1/c
5281,PmS,I4/mmm
5282,PmS2,P4/nmm
5283,PmS3,P6_3/mmc
5284,Sm2S3,Pnma
5285,Sm39S56,P1
5286,Sm2S3,I-42d
5287,Sm3S4,I-43d
5288,SmS,Fm-3m
5289,Sm10S19,P4_2/n
5290,SmS2,P2_1/c
5291,SmS2,P4/nmm
5292,SmS,I4/mmm
5293,SmS2,Fd-3m
5294,EuS,Fm-3m
5295,EuS,I4/mmm
5296,Eu3S4,I-43d
5297,EuS,Pm-3m
5298,Eu2S3,Pnma
5299,EuS2,P2_1/c
5300,EuS2,P4/nmm
5301,EuS3,I4/mmm
5302,Eu3S,P6_3/mmc
5303,Gd2S3,Pnma
5304,Gd2S3,I-42d
5305,Gd3S4,I-43d
5306,GdS,Fm-3m
5307,Gd10S19,P4_2/n
5308,GdS2,P2_1/c
5309,GdS2,P4/nmm
5310,GdS2,Fd-3m
5311,Tb2S3,Pnma
5312,Tb5S7,C2/m
5313,Tb2S3,I-42d
5314,Tb11S16,P2_12_12
5315,TbS,Fm-3m
5316,TbS2,P2_1/c
5317,TbS2,P4/nmm
5318,TbS2,Fd-3m
5319,Tb3S,Pm-3m
5320,Dy2S3,Pnma
5321,Dy5S7,C2/m
5322,Dy2S3,I-42d
5323,Dy11S16,P2_12_12
5324,Dy3S4,I-43d
5325,DyS,Fm-3m
5326,DyS2,P4/nmm
5327,DyS2,Fd-3m
5328,Ho2S3,P2_1/m
5329,Ho2S3,Pnma
5330,Ho2S3,R-3c
5331,Ho5S7,C2/m
5332,Ho2S3,I-42d
5333,HoS,Fm-3m
5334,HoS2,P4/nmm
5335,HoS,P4/mmm
5336,HoS2,Fd-3m
5337,Er2S3,P2_1/m
5338,Er2S3,Pnma
5339,Er5S7,C2/m
5340,Er2S3,I-42d
5341,ErS,Fm-3m
5342,ErS2,P2_1/c
5343,ErS2,P4/nmm
5344,ErS2,Fd-3m
5345,Tm2S3,Ia-3
5346,Tm2S3,P2_1/m
5347,Tm2S3,R-3c
5348,Tm2S3,Pnma
5349,Tm5S7,C2/m
5350,Tm5S7,Cm
5351,Tm8S11,Cmcm
5352,Tm2S3,P6_3cm
5353,Tm2S3,I-42d
5354,Tm15S22,C2/m
5355,TmS,Fm-3m
5356,Tm10S19,P4_2/n
5357,TmS2,P4/nmm
5358,TmS2,Fd-3m
5359,YbS,Fm-3m
5360,Yb29S30,P1
5361,Yb3S4,Pnma
5362,Yb2S3,I-42d
5363,Yb2S3,Pnma
5364,Yb2S3,C2/c
5365,Yb2S3,Cmc2_1
5366,Yb2S3,P2_1/m
5367,Yb2S3,P6_3cm
5368,YbS2,C2/c
5369,Yb5S9,C2
5370,Yb16S29,P1
5371,Yb5S9,P-1
5372,Yb16S29,I-42m
5373,Yb4S7,I-42m
5374,Yb2S3,Ia-3
5375,Yb2S3,R-3c
5376,YbS2,P4/nmm
5377,YbS2,Fd-3m
5378,Lu2S3,R-3c
5379,Lu2S3,Pnma
5380,Lu2S3,P6_3cm
5381,Lu2S3,I-42d
5382,Lu3S4,I4/mmm
5383,LuS,Fm-3m
5384,LuS2,P4/nmm
5385,LuS2,Fd-3m
5386,HfS2,P-3m1
5387,HfS,P-6m2
5388,HfS3,P2_1/m
5389,Hf2S,P6_3/mmc
5390,Ta27S50,P1
5391,TaS2,P6_3/mmc
5392,TaS2,R3m
5393,TaS2,Cmcm
5394,TaS2,Fmm2
5395,Ta7S12,C2/m
5396,TaS2,R-3m
5397,TaS2,P-3m1
5398,Ta5S8,C2/m
5399,TaS3,P2_1/m
5400,Ta3S2,Aem2
5401,TaS,P-6m2
5402,Ta2S,Pbcm
5403,TaS3,Aea2
5404,Ta6S,C2/c
5405,Ta6S,P-1
5406,WS2,R3m
5407,WS2,P6_3/mmc
5408,WS2,P-3m1
5409,WS2,P-6m2
5410,WS,P6_3mc
5411,WS2,I-42d
5412,ReS2,P-1
5413,ReS2,P3m1
5414,OsS2,Pa-3
5415,IrS2,Pnma
5416,Ir3S8,R-3
5417,Ir2S3,R-3c
5418,Ir2S3,Pbcn
5419,IrS2,Pa-3
5420,PtS2,P-3m1
5421,PtS,P4_2/mmc
5422,PtS,P4_2/m
5423,Au2S,Pn-3m
5424,AuS,P6_3mc
5425,HgS,F-43m
5426,HgS,P6_3mc
5427,HgS,P3_121
5428,HgS,P3_221
5429,HgS4,Pbcm
5430,HgS,Fm-3m
5431,Tl2S5,P2_12_12_1
5432,Tl4S3,P2_1/c
5433,Tl2S,R3
5434,Tl2S,P3
5435,TlS,P4_12_12
5436,TlS,I4/mcm
5437,TlS,R-3m
5438,TlS,Pm-3m
5439,Tl3S,I4/mmm
5440,Tl3S,P6_3/mmc
5441,Tl6S,P31m
5442,TlS3,P6_3/mmc
5443,PbS,Fm-3m
5444,PbS,R3m
5445,PbS,Pnma
5446,PbS,Cmcm
5447,PbS,P6_3mc
5448,PbS,C2/m
5449,PbS,Cmce
5450,PbS,Aem2
5451,PbS,C2
5452,PbS,P6_3/mmc
5453,PbS,P2_1/m
5454,PbS,P-6m2
5455,PbS2,I4/mcm
5456,PbS,Amm2
5457,PbS,Pma2
5458,PbS,Pm-3m
5459,PbS2,P-3m1
5460,Pb3S,Pm-3m
5461,Bi2S3,Pnma
5462,BiS2,C2/m
5463,BiS,Amm2
5464,BiS,Fmm2
5465,BiS,C2/m
5466,BiS2,I-42d
5467,BiS3,P6_3/mmc
5468,Ac2S3,I-42d
5469,Ac2S3,R-3c
5470,ThS2,Pnma
5471,Th7S12,P-6
5472,Th2S3,Pnma
5473,Th2S5,Pbcn
5474,ThS,Fm-3m
5475,Th3S,Pm-3m
5476,Th3S,I4/mmm
5477,Pa2S3,R-3c
5478,PaS3,P6_3/mmc
5479,US2,Pnma
5480,U2S3,Pnma
5481,U11S20,P4
5482,US2,P-62m
5483,U3S5,Pnma
5484,U3S5,I4/mcm
5485,US2,C2
5486,U2S5,Pbcn
5487,US3,P2_1/m
5488,US,Fm-3m
5489,U4S3,Pm-3m
5490,U2S,P-1
5491,NpS,Fm-3m
5492,Np2S5,Pbcn
5493,Np3S5,Pnma
5494,Np2S3,Pnma
5495,Pu2S3,I-42d
5496,Pu2S3,R-3c
5497,PuS2,P4/nmm
5498,Pu3S2,Pnma
5499,PuS,Fm-3m
5500,PuS3,I4/mmm
5501,KCl,Fm-3m
5502,KCl,Pm-3m
5503,KCl3,I4/mmm
5504,CaCl2,P4_2/mnm
5505,CaCl2,Pnnm
5506,CaCl2,Pbcn
5507,CaCl2,Fm-3m
5508,CaCl2,Pnma
5509,ScCl3,R-3
5510,Sc7Cl12,R-3
5511,Sc5Cl8,C2/m
5512,Sc7Cl10,C2/m
5513,ScCl,R-3m
5514,TiCl4,P2_1/c
5515,TiCl3,P6_3/mcm
5516,TiCl3,C2/c
5517,TiCl3,P3_112
5518,TiCl3,P-31c
5519,TiCl3,P-31m
5520,TiCl3,C2/m
5521,TiCl3,P312
5522,TiCl3,R-3
5523,Ti7Cl16,Pnnm
5524,TiCl2,P-3m1
5525,VCl4,P2_1/c
5526,VCl4,P2/c
5527,VCl3,R-3
5528,VCl2,P-3m1
5529,VCl5,P-1
5530,CrCl3,P3_212
5531,CrCl3,R-3
5532,CrCl3,C2/m
5533,CrCl2,Pnnm
5534,CrCl,P6_3mc
5535,MnCl2,R-3m
5536,FeCl3,P312
5537,FeCl3,P-3
5538,FeCl3,P1
5539,FeCl3,R-3
5540,FeCl4,Cmmm
5541,FeCl2,R-3m
5542,FeCl2,P-3m1
5543,FeCl6,Cmmm
5544,CoCl2,P-3m1
5545,CoCl2,R-3m
5546,CoCl2,C2/m
5547,CoCl6,Cmmm
5548,NiCl2,R-3m
5549,Ni3Cl4,C2/m
5550,Ni3Cl4,Cmmm
5551,Ni5Cl6,C2/m
5552,Ni6Cl7,P-1
5553,NiCl,P6_3mc
5554,Ni15Cl16,Im-3m
5555,NiCl,Fm-3m
5556,NiCl6,Cmmm
5557,CuCl2,C2/m
5558,CuCl2,R-3m
5559,CuCl2,I4/mmm
5560,CuCl2,P4/mmm
5561,CuCl,F-43m
5562,CuCl,P6_3mc
5563,CuCl,R3m
5564,CuCl,Pa-3
5565,CuCl,Fm-3m
5566,CuCl4,I-42m
5567,ZnCl2,I-42d
5568,ZnCl2,Pna2_1
5569,ZnCl2,P2_1/c
5570,ZnCl2,P4_2/nmc
5571,ZnCl3,P6_3/m
5572,GaCl3,C2/m
5573,GaCl3,P-1
5574,Ga3Cl7,Pna2_1
5575,GaCl2,Pnna
5576,RbCl,Fm-3m
5577,RbCl,Pm-3m
5578,SrCl2,Fm-3m
5579,Sr25Cl52,P-1
5580,SrCl3,P6_3/mmc
5581,YCl3,C2/m
5582,Y2Cl3,C2/m
5583,YCl,R-3m
5584,ZrCl4,P2/c
5585,ZrCl3,P6_3/mcm
5586,ZrCl3,C2/m
5587,ZrCl3,P-1
5588,ZrCl3,R-3
5589,ZrCl3,P-31m
5590,Zr2Cl5,Ia-3d
5591,ZrCl2,R3m
5592,ZrCl2,R-3
5593,ZrCl,R-3m
5594,ZrCl,P-3m1
5595,NbCl4,C2/m
5596,NbCl5,C2/m
5597,NbCl5,P2_1/c
5598,Nb3Cl8,P-3m1
5599,Nb3Cl7,Cmce
5600,MoCl2,Cmce
5601,MoCl5,Pnma
5602,MoCl5,P-1
5603,MoCl5,C2/m
5604,MoCl5,P2_1/c
5605,MoCl6,P-3m1
5606,MoCl6,P-31m
5607,MoCl3,C2/m
5608,MoCl3,C2/c
5609,MoCl4,P-31m
5610,MoCl4,P2/c
5611,MoCl3,P-31c
5612,TcCl3,R-3m
5613,TcCl3,C2/m
5614,TcCl4,Pbca
5615,RuCl3,P6_3/mcm
5616,RuCl3,Pmmn
5617,RuCl3,P3_112
5618,RhCl3,C2/m
5619,RhCl2,P4_2/mnm
5620,Rh3Cl4,Pm-3n
5621,PdCl2,R-3
5622,PdCl2,P2_1/c
5623,PdCl2,P2/m
5624,PdCl2,Pnnm
5625,PdCl2,P-1
5626,Ag2Cl3,R-3c
5627,AgCl,Fm-3m
5628,AgCl,P2_1/m
5629,AgCl,Cmcm
5630,AgCl,Pm-3m
5631,Ag3Cl,P6_3/mmc
5632,CdCl2,R-3m
5633,CdCl2,C2/m
5634,CdCl2,P-4m2
5635,CdCl2,C2
5636,CdCl4,Cmce
5637,CdCl6,Cmmm
5638,InCl3,P6_3/mmc
5639,InCl2,Pnna
5640,In5Cl9,R-3c
5641,In2Cl3,Pnma
5642,In7Cl9,Pa-3
5643,InCl,P2_13
5644,InCl,Cmcm
5645,InCl,Cmc2_1
5646,In3Cl,P6_3/mmc
5647,SnCl4,P2_1/c
5648,SnCl2,Pnma
5649,SnCl2,P2_1/c
5650,SnCl,P6_3mc
5651,CsCl,Fm-3m
5652,CsCl,Pm-3m
5653,BaCl2,Fm-3m
5654,BaCl2,Pnma
5655,BaCl2,P-62m
5656,LaCl3,P6_3/m
5657,LaCl,R-3m
5658,CeCl3,P6_3/m
5659,Ce3Cl,Pm-3m
5660,PrCl3,P6_3/m
5661,Pr5Cl12,P-3
5662,Pr3Cl,P6_3/mmc
5663,NdCl3,P6_3/m
5664,Nd14Cl33,P-1
5665,NdCl2,P4_2/mnm
5666,NdCl2,Pnma
5667,PmCl3,P6_3/mmc
5668,PmCl2,P4_2/mnm
5669,SmCl3,P6_3/mmc
5670,SmCl2,P4_2/mnm
5671,SmCl2,Pnma
5672,EuCl2,P4_2/mnm
5673,EuCl2,Pnma
5674,EuCl3,P6_3/m
5675,GdCl3,P6_3/m
5676,Gd2Cl3,C2/m
5677,Gd2Cl3,Cm
5678,GdCl,P6_3mc
5679,TbCl3,P4_2/mnm
5680,TbCl3,Cmcm
5681,TbCl3,P6_3/m
5682,Tb2Cl3,C2/m
5683,TbCl,R-3m
5684,DyCl3,Cmcm
5685,Dy5Cl11,P2_1/m
5686,Dy6Cl13,C2/c
5687,HoCl3,P6_3/mmc
5688,Ho5Cl11,P2_1/m
5689,HoCl2,P4_2/mnm
5690,ErCl3,P6_3/mmc
5691,ErCl2,P4_2/mnm
5692,TmCl3,R-3c
5693,Tm7Cl15,Pnma
5694,TmCl2,Pbca
5695,YbCl2,P4_2/mnm
5696,YbCl2,Pbca
5697,Yb7Cl15,Pnma
5698,Yb8Cl17,C2/c
5699,Yb6Cl13,P-1
5700,YbCl3,C2/m
5701,YbCl3,Cmcm
5702,YbCl3,P6_3/mmc
5703,LuCl3,P6_3/mmc
5704,HfCl4,P2/c
5705,TaCl5,C2/m
5706,TaCl4,C2/m
5707,Ta2Cl5,Ia-3d
5708,TaCl3,Fd-3m
5709,WCl6,R-3
5710,WCl6,P-3m1
5711,WCl5,C2/m
5712,WCl4,C2/m
5713,WCl3,R-3
5714,WCl2,Cmce
5715,ReCl3,R-3m
5716,ReCl6,R-3
5717,ReCl5,P2_1/c
5718,ReCl4,P2/c
5719,OsCl4,Cmmm
5720,IrCl3,C2/m
5721,IrCl3,Fddd
5722,IrCl3,P6_3/mmc
5723,IrCl2,P4_2/mnm
5724,PtCl3,R-3
5725,PtCl2,R-3m
5726,PtCl2,C2/m
5727,PtCl2,Pnnm
5728,PtCl2,P-1
5729,PtCl4,Pa-3
5730,AuCl3,P2_1/c
5731,AuCl2,P-1
5732,AuCl4,I4_1/amd
5733,AuCl,I4_1/amd
5734,AuCl,P4_2/ncm
5735,AuCl,P6_3mc
5736,HgCl2,Pnma
5737,HgCl,I4/mmm
5738,Hg3Cl,Fm-3m
5739,TlCl,Fm-3m
5740,TlCl,Cmcm
5741,TlCl,Pm-3m
5742,Tl2Cl3,Pnma
5743,TlCl2,I4_1/a
5744,Tl2Cl3,R-3m
5745,TlCl3,C2/m
5746,TlCl3,Pnma
5747,Tl3Cl,P6_3/mmc
5748,Tl3Cl,Pm-3m
5749,TlCl2,C2/m
5750,PbCl2,P4_2/mnm
5751,PbCl2,Pnma
5752,PbCl2,P2_1/c
5753,PbCl4,C2/c
5754,BiCl3,Pnma
5755,Bi6Cl7,Pnnm
5756,AcCl3,P6_3/m
5757,Ac3Cl,P6_3/mmc
5758,Ac3Cl,Pm-3m
5759,ThCl4,I4_1/a
5760,ThCl4,I4_1/amd
5761,ThCl2,I4_1/amd
5762,ThCl,P6_3mc
5763,Th3Cl,I4/mmm
5764,PaCl5,C2/c
5765,PaCl4,I4_1/amd
5766,UCl3,P6_3/m
5767,UCl5,P-1
5768,UCl5,P2_1/c
5769,UCl4,I4_1/amd
5770,UCl6,P-3m1
5771,UCl2,I4_1/amd
5772,NpCl4,I4_1/amd
5773,NpCl3,P6_3/m
5774,PuCl3,P6_3/m
5775,PuCl2,P4_2/mnm
5776,PuCl,P-6m2
5777,KZn13,Fm-3c
5778,KGa3,I-4m2
5779,K3Ga13,Cmcm
5780,K2Ga3,I4/mmm
5781,KGa,Pnma
5782,KGe,I4_1/acd
5783,KGe,P-43n
5784,K3Ge17,Fd-3m
5785,KAs,P2_12_12_1
5786,K5As4,Cm
5787,K5As4,P-1
5788,K3As7,Pbca
5789,KAs,Pmma
5790,K3As,P6_3/mmc
5791,K3As11,Pbcn
5792,K2Se,Fm-3m
5793,K5Se3,I4/m
5794,K57Se34,P1
5795,KSe,P-62m
5796,K2Se3,Cmc2_1
5797,KSe,Cmce
5798,K2Se5,P2_12_12_1
5799,KSe,Fm-3m
5800,KSe3,C2
5801,KBr,Fm-3m
5802,KBr,Pm-3m
5803,KBr3,P6_3/mmc
5804,KAg2,P6_3/mmc
5805,K3Cd16,P4/nnc
5806,KCd13,Fm-3c
5807,K17In41,Fd-3m
5808,K8In11,R-3c
5809,KIn4,I4/mmm
5810,KIn3,Fm-3m
5811,KSn,I4_1/acd
5812,K4Sn9,P2_1/c
5813,KSn2,P6_3/mmc
5814,K6Sn25,P4_332
5815,KSn3,P6_3/mmc
5816,K4Sn23,Pm-3n
5817,K3Sn,Fm-3m
5818,KSb,P2_1/c
5819,K5Sb4,C2/m
5820,K5Sb4,Cm
5821,K3Sb,P6_3/mmc
5822,K5Sb4,P-1
5823,K3Sb,Fm-3m
5824,KSb2,C2/m
5825,K2Te,Fm-3m
5826,K5Te3,I4/m
5827,KTe,P6_3/mmc
5828,KTe,P-62m
5829,K2Te3,Pnma
5830,KTe3,P6_3/mmc
5831,KI,Fm-3m
5832,KI,Cmcm
5833,KI,Pm-3m
5834,K2Au3,Immm
5835,KAu2,P6_3/mmc
5836,KAu5,P6/mmm
5837,KHg2,Imma
5838,K5Hg7,Pbcm
5839,KHg,P-1
5840,KHg3,P6_3/mmc
5841,KHg3,I4/mmm
5842,K2Hg7,P-3m1
5843,KHg3,Fm-3m
5844,KHg3,Pm-3m
5845,K3Hg11,Immm
5846,K7Hg31,P-6m2
5847,KHg6,Pnma
5848,KHg11,Pm-3m
5849,K3Hg,Fm-3m
5850,K3Hg,I4/mmm
5851,K8Tl11,R-3c
5852,K49Tl108,Pm-3
5853,KTl,Cmce
5854,K10Tl7,P2_1/c
5855,K6Tl17,Cccm
5856,KTl3,P6_3/mmc
5857,KTl,P6_3/mmc
5858,KPb,I4_1/acd
5859,KPb2,P6_3/mmc
5860,K4Pb9,P2_1/m
5861,K5Pb24,I-43m
5862,KPb3,Pm-3m
5863,K3Bi,P6_3cm
5864,K3Bi,P6_3/mmc
5865,K5Bi4,Cm
5866,K5Bi4,C2/m
5867,KBi,P2_1/c
5868,K3Bi,Fm-3m
5869,KBi2,Fd-3m
5870,K3Bi2,C2/c
5871,KBi3,Pm-3m
5872,CaNi2,Fd-3m
5873,CaNi5,P6/mmm
5874,CaNi5,Imma
5875,CaCu,Pnma
5876,CaCu,P2_1/m
5877,CaCu5,P6/mmm
5878,Ca2Cu,Pnma
5879,CaZn2,Imma
5880,CaZn2,P6_3/mmc
5881,CaZn,Cmcm
5882,CaZn,Pm-3m
5883,CaZn,Pmma
5884,CaZn5,P6/mmm
5885,Ca5Zn3,I4/mcm
5886,CaZn3,P6_3/mmc
5887,CaZn11,I4_1/amd
5888,CaZn3,Fm-3m
5889,Ca4Zn51,R-3
5890,CaZn13,Fm-3c
5891,CaZn3,I4/mmm
5892,Ca3Zn,Cmcm
5893,CaZn,R-3m
5894,CaZn3,Pm-3m
5895,CaZn,Fm-3m
5896,CaZn,P-6m2
5897,Ca2Zn,P4_2/mnm
5898,Ca3Zn,P6_3/mmc
5899,Ca3Zn,Pm-3m
5900,CaGa2,P6_3/mmc
5901,Ca3Ga5,Cmcm
5902,CaGa2,P6/mmm
5903,CaGa,Cmcm
5904,Ca3Ga8,Immm
5905,Ca11Ga7,Fm-3m
5906,Ca5Ga3,I4/mcm
5907,CaGa4,I4/mmm
5908,CaGa4,C2/m
5909,Ca28Ga11,Imm2
5910,CaGe,Cmcm
5911,Ca5Ge3,I4/mcm
5912,Ca2Ge,Pnma
5913,Ca2Ge,Fm-3m
5914,Ca7Ge6,Pnma
5915,Ca3Ge4,P6_3/m
5916,CaGe2,P6_3mc
5917,CaGe2,R-3m
5918,CaGe2,P-3m1
5919,CaGe2,C2/m
5920,CaGe3,I4/mmm
5921,Ca7Ge,Fm-3m
5922,Ca4As3,Pbam
5923,Ca5As3,P6_3/mcm
5924,CaAs,P-62m
5925,Ca2As,I4/mmm
5926,Ca2As3,P2/c
5927,Ca3As2,Pm-3m
5928,CaAs,Pbcn
5929,CaAs3,P-1
5930,CaSe,Fm-3m
5931,CaSe,F-43m
5932,CaBr2,Pnnm
5933,CaBr2,P4_2/mnm
5934,CaBr,P-6m2
5935,CaBr,P6_3mc
5936,CaRh2,Fd-3m
5937,Ca2Rh,Fm-3m
5938,Ca5Rh,Pnma
5939,CaPd2,Fd-3m
5940,CaPd,Pm-3m
5941,Ca3Pd2,R-3
5942,Ca5Pd2,C2/c
5943,Ca3Pd,Pnma
5944,CaPd2,I4/mmm
5945,CaPd5,P6/mmm
5946,Ca4Pd,Fd-3m
5947,CaAg,Cmcm
5948,CaAg2,Imma
5949,Ca5Ag3,I4/mcm
5950,Ca2Ag7,Cmcm
5951,Ca3Ag8,Im-3m
5952,CaAg3,Fm-3m
5953,CaAg3,I4/mmm
5954,Ca3Ag,Pm-3m
5955,CaCd,Pm-3m
5956,CaCd2,Imma
5957,CaCd2,P6_3/mmc
5958,Ca3Cd2,P4_2/mnm
5959,CaCd3,P6_3/mmc
5960,CaCd6,Immm
5961,Ca3Cd,Pm-3m
5962,CaIn,Pm-3m
5963,CaIn,I4/mmm
5964,CaIn2,P6_3/mmc
5965,Ca2In,Pnma
5966,Ca8In3,P-1
5967,Ca8In3,P1
5968,Ca3In,Fm-3m
5969,Ca31Sn20,I4/mcm
5970,Ca36Sn23,P4/mbm
5971,Ca2Sn,Pnma
5972,Ca5Sn3,I4/mcm
5973,CaSn,Cmcm
5974,Ca7Sn6,Pnma
5975,Ca2Sn,Fm-3m
5976,Ca3Sn,Pm-3m
5977,CaSn3,Pm-3m
5978,Ca16Sb11,P2_12_12
5979,Ca5Sb3,Pnma
5980,Ca5Sb3,P6_3/mcm
5981,Ca11Sb10,I4/mmm
5982,Ca2Sb,I4/mmm
5983,CaSb2,P2_1/m
5984,Ca3Sb2,Pm-3m
5985,CaTe,Fm-3m
5986,CaTe,P6_3/mmc
5987,CaTe,Pm-3m
5988,CaI2,P-3m1
5989,CaI,P-6m2
5990,CaIr2,Fd-3m
5991,Ca5Ir,Pnma
5992,CaPt2,Fd-3m
5993,CaPt2,P6_3/mmc
5994,Ca3Pt2,R-3
5995,Ca5Pt3,I4/mcm
5996,Ca5Pt2,C2/c
5997,CaPt5,P6/mmm
5998,CaAu,Cmcm
5999,Ca3Au4,R-3
6000,Ca5Au4,P2_1/c
6001,CaAu2,Imma
6002,Ca5Au3,I4/mcm
6003,Ca7Au3,Pbca
6004,Ca5Au2,C2/c
6005,CaAu3,Fm-3m
6006,Ca3Au,Pnma
6007,CaAu5,F-43m
6008,CaHg,Pm-3m
6009,Ca3Hg2,P4/mbm
6010,CaHg2,P6/mmm
6011,Ca5Hg3,I4/mcm
6012,Ca2Hg,Pnma
6013,Ca4Hg9,P-43m
6014,CaHg3,P6_3/mmc
6015,CaHg3,Cmcm
6016,Ca14Hg51,P-6
6017,Ca3Hg,Pm-3m
6018,CaHg2,P-3m1
6019,CaHg11,Pm-3m
6020,CaTl,Pm-3m
6021,Ca3Tl5,Cmcm
6022,CaTl3,Pm-3m
6023,Ca3Tl,P6_3/mmc
6024,Ca3Tl,Fm-3m
6025,Ca2Pb,Pnma
6026,Ca5Pb3,P6_3/mcm
6027,Ca2Pb,Fm-3m
6028,CaPb,P4/mmm
6029,Ca5Pb3,P6_3mc
6030,Ca3Pb,Pm-3m
6031,CaPb3,Pm-3m
6032,Ca5Bi3,Pnma
6033,Ca11Bi10,I4/mmm
6034,Ca2Bi,I4/mmm
6035,CaBi2,Cmcm
6036,Ca3Bi2,Pm-3m
6037,CaBi3,Pm-3m
6038,Ca2Bi7,C2/m
6039,ScMn2,P6_3/mmc
6040,ScFe2,P6_3/mmc
6041,ScFe2,Fd-3m
6042,Sc29Fe6,Pm-3
6043,ScCo,Pm-3m
6044,ScCo2,Fd-3m
6045,Sc2Co,I4/mcm
6046,Sc3Co,Pnma
6047,ScNi2,Fd-3m
6048,ScNi,Pm-3m
6049,ScNi3,Pm-3m
6050,Sc2Ni7,P6_3/mmc
6051,ScNi3,P6_3/mmc
6052,Sc2Ni,Fd-3m
6053,ScNi5,P6/mmm
6054,ScCu,Pm-3m
6055,ScCu2,I4/mmm
6056,ScCu3,I4/mmm
6057,ScCu3,Fm-3m
6058,ScZn,Pm-3m
6059,ScZn2,P6_3/mmc
6060,ScZn3,P6_3/mmc
6061,ScZn3,Fm-3m
6062,Sc3Zn17,Im-3
6063,ScZn6,Immm
6064,ScZn12,I4/mmm
6065,ScGa,Cmcm
6066,Sc3Ga5,Pnma
6067,Sc11Ga9,Fmm2
6068,Sc11Ga10,I4/mmm
6069,Sc3Ga2,I4/mcm
6070,ScGa2,Imma
6071,ScGa2,Cmmm
6072,Sc5Ga3,C2/m
6073,Sc5Ga3,P6_3/mcm
6074,ScGa3,Pm-3m
6075,Sc3Ga,P6_3/mmc
6076,Sc5Ge4,Pnma
6077,Sc5Ge3,P6_3/mcm
6078,Sc11Ge10,I4/mmm
6079,ScGe,Cmcm
6080,ScGe2,Cmcm
6081,ScAs,Fm-3m
6082,Sc3As2,Pnma
6083,Sc3As2,P4/m
6084,Sc5As3,Pnma
6085,Sc7As3,I4/mcm
6086,ScAs,Pm-3m
6087,Sc3As,P6_3/mmc
6088,Sc2Se3,Fddd
6089,Sc2Se3,Immm
